GEOID,DISTRICT
47135006954,6
47135006952,6
47071003705,1
47157008171,7
47157008195,7
47099005174,3
47099005163,3
47099005162,3
47099005164,3
47099005165,3
47099005167,3
47099005159,3
47099005173,3
47017000819,1
47017000803,1
47043002267,6
47043002256,6
47043002255,6
47101005251,6
47083004304,6
47079004112,6
47079004110,1
47079004106,1
47157008190,7
47157008170,7
47071003702,1
47071003703,1
47071003704,1
47071003707,1
47071003716,1
47071003712,1
47071003718,1
47157008079,1
47157008237,7
47157008110,7
47157008231,7
47157008064,7
47157008250,7
47157008070,1
47157008168,7
47157008131,7
47157008233,7
47157008182,7
47157008184,7
47085004406,6
47085004405,6
47085004407,6
47085004404,6
47085004401,6
47085004403,6
47049002559,5
47049002557,5
47049002551,5
47049002562,5
47049002553,5
47049002561,5
47049002552,5
47083004302,6
47083004303,6
47083004306,6
47099005160,3
47099005161,3
47099005151,3
47079004101,1
47101005252,6
47101005253,6
47101005257,6
47079004105,1
47079004102,1
47079004113,6
47079004103,6
47079004109,1
47079004104,1
47079004108,1
47051002661,5
47051005764,5
47051002663,5
47157008122,7
47157008091,7
47157008071,1
47157008055,1
47157008101,7
47077004002,1
47077004011,1
47045002361,1
47045002352,1
47045002362,1
47045002358,1
47045002353,1
47045002357,1
47045002365,1
47045002364,1
47109006151,1
47109006155,1
47169008801,5
47169008807,5
47169008810,5
47157008057,7
47157008089,7
47157008176,7
47157008174,7
47045002359,1
47101005254,3
47101005255,3
47157008136,7
47157008103,7
47053002771,1
47085004402,6
47085004408,6
47017000809,1
47017000802,1
47099005170,3
47099005171,3
47099005156,3
47151007754,2
47151007751,9
47137007055,5
47137007053,5
47055002860,3
47055002854,3
47055002862,3
47055002857,3
47055002856,3
47055002853,3
47055002852,3
47011000502,9
47011000507,9
47151007760,2
47051002660,5
47051005757,5
47051002657,5
47051002662,5
47051002667,5
47051002668,5
47051002652,5
47043002251,6
47043002252,6
47051002666,5
47043002254,6
47043002253,6
47043002265,6
47043002263,6
47043002259,6
47043002258,6
47119005956,3
47119005962,3
47119005953,3
47119005969,3
47119005964,3
47119005970,3
47119005951,3
47119005971,3
47119005965,3
47157008261,1
47045002356,1
47109006157,1
47109006158,1
47109006152,1
47109006167,1
47077004003,1
47145007471,9
47145007458,9
47145007453,9
47157008202,7
47157008121,7
47157008145,7
47157008197,7
47157008222,7
47157008086,7
47157008183,7
47157008189,7
47119005963,3
47119005966,3
47119005958,3
47119005959,3
47119005960,3
47119005961,3
47119005968,3
47017000810,1
47017000807,1
47017000805,1
47017000812,1
47017000806,1
47117005855,3
47117005856,3
47055002864,3
47055002859,3
47055002863,3
47055002855,3
47117005859,3
47117005852,3
47051002653,5
